Date,Strategy,Bitcoin
9/12/20,12580.56,14602.07
9/13/20,12094.98,14450.9
9/14/20,12341.45,14924.93
9/15/20,12041.72,15083.72
9/16/20,12065.36,15319.65
9/17/20,12625.42,15300.04
9/18/20,12511.96,15290.81
9/19/20,12530.86,15496.76
9/20/20,12206.76,15272.48
9/21/20,11499.85,14568.93
9/22/20,11576.29,14726.11
9/23/20,11575.65,14323.12
9/24/20,11575.02,15015.2
9/25/20,11574.39,14945.76
9/26/20,11573.75,15004.41
9/27/20,11573.12,15068.25
9/28/20,11572.48,14958.98
9/29/20,11571.85,15160.87
9/30/20,11571.21,15071.52
10/1/20,11570.58,14851.31
10/2/20,11569.95,14783.16
10/3/20,11569.31,14743.52
10/4/20,11568.68,14917.74
10/5/20,11568.04,15093.37
10/6/20,11567.41,14824.08
10/7/20,11566.78,14917.4
10/8/20,11566.14,15279.88
10/9/20,11611.82,15454.79
10/10/20,11584.26,15794.05
10/11/20,11663.25,15900.06
10/12/20,11931.98,16122.75
10/13/20,11813.17,15972.14
10/14/20,11761.54,15968.41
10/15/20,11738.08,16090.4
10/16/20,11473.41,15830.55
10/17/20,11534.72,15887.72
10/18/20,11748.61,16087.63
10/19/20,11773.84,16434.93
10/20/20,11539.06,16656.63
10/21/20,12017.35,17874.72
10/22/20,12525.03,18137.03
10/23/20,12421.24,18073.47
10/24/20,12484.93,18337.31
10/25/20,12351.13,18221.38
10/26/20,12066.39,18254.05
10/27/20,12300.84,19070.77
10/28/20,11975.46,18553.63
10/29/20,11951.06,18818.37
10/30/20,11850.18,18964.38
10/31/20,11935.59,19287.3
11/1/20,12155.58,19246.05
11/2/20,11862.23,18949.37
11/3/20,11966.89,19612.51
11/4/20,12281.63,19781
11/5/20,12584.15,21803.31
11/6/20,13412.26,21789.18
11/7/20,12985.39,20724.03
11/8/20,13383.25,21642.59
11/9/20,13176.79,21437.44
11/10/20,13300.99,21393.8
11/11/20,13563.77,21935.08
11/12/20,13548.68,22784.86
11/13/20,13835.81,22825.2
